OrderID,OrderDate,ProductID,Product,Quantity,Region,Customer Type,Sales Person,PaymentMethod,Discount
ORD119,2025-11-03,P014,External SSD,3,Midlands,Business,Emma,Bank Transfer,10
ORD397,2026-06-26,P010,Mouse,2,South West,Consumer,Sarah,PayPal,5
ORD240,2026-02-23,P003,Mini PC,3,North West,Business,James,Credit Card,5
ORD246,2026-02-09,P006,"Monitor 27""",1,North West,Business,Emma,Credit Card,15
ORD344,2026-04-10,P012,Docking Station,3,North West,Consumer,Michael,PayPal,0
ORD265,2026-02-10,P001,Laptop,3,South West,Business,James,Bank Transfer,10
ORD282,2026-03-21,P005,Monitor,1,Midlands,Consumer,Sarah,Credit Card,0
ORD342,2026-04-06,P020,Printer,1,South West,Consumer,Emma,Debit Card,5
ORD132,2025-11-25,P006,"Monitor 27""",1,Midlands,Business,Emma,PayPal,5
ORD434,2026-07-21,P016,Speakers,4,London,Consumer,Emma,Credit Card,10
ORD285,2026-03-29,P018,Webcam,3,South West,Business,James,Credit Card,5
ORD211,2026-01-24,P020,Printer,1,London,Consumer,Emma,Bank Transfer,15
ORD097,2025-11-12,P004,Gaming Laptop,1,London,Consumer,Sarah,PayPal,0
ORD271,2026-03-26,P011,Gaming Mouse,1,South West,Consumer,Emma,Credit Card,0
ORD183,2025-12-20,P004,Gaming Laptop,1,Midlands,Consumer,James,Credit Card,0
ORD363,2026-05-06,P010,Mouse,3,North West,Business,Emma,Credit Card,10
ORD337,2026-04-21,P020,Printer,1,South West,Consumer,Sarah,Credit Card,5
ORD253,2026-02-02,P010,Mouse,1,South West,Consumer,Sarah,Credit Card,10
ORD239,2026-02-25,P008,Keyboard,2,London,Consumer,James,Credit Card,10
ORD416,2026-06-08,P008,Keyboard,2,Midlands,Consumer,Emma,Debit Card,10
ORD440,2026-07-13,P002,Desktop PC,4,Midlands,Business,Michael,Bank Transfer,5
ORD236,2026-02-04,P005,Monitor,1,South West,Business,Sarah,Bank Transfer,5
ORD417,2026-06-15,P014,External SSD,2,London,Business,Emma,Bank Transfer,10
ORD061,2025-10-11,P009,Mechanical Keyboard,3,South West,Consumer,Sarah,Bank Transfer,5
ORD300,2026-03-20,P005,Monitor,2,South West,Consumer,James,Credit Card,0
ORD492,2026-08-20,P016,Speakers,2,Midlands,Consumer,Michael,Credit Card,0
ORD222,2026-01-05,P007,Ultrawide Monitor,3,South West,Business,James,Credit Card,10
ORD130,2025-11-28,P014,External SSD,2,London,Consumer,James,Debit Card,5
ORD324,2026-04-29,P012,Docking Station,3,South West,Business,Sarah,Credit Card,10
ORD166,2025-12-24,P013,USB Hub,2,Midlands,Consumer,Sarah,Credit Card,5
ORD293,2026-03-02,P010,Mouse,4,South West,Business,Sarah,Credit Card,15
ORD242,2026-02-28,P017,Microphone,1,Midlands,Business,Michael,Debit Card,15
ORD499,2026-08-28,P010,Mouse,2,North West,Business,Emma,Bank Transfer,10
ORD352,2026-05-06,P004,Gaming Laptop,2,London,Consumer,Sarah,Debit Card,0
ORD436,2026-07-11,P007,Ultrawide Monitor,1,London,Consumer,Sarah,Bank Transfer,10
ORD035,2025-09-24,P009,Mechanical Keyboard,1,Midlands,Consumer,James,PayPal,0
ORD029,2025-09-19,P003,Mini PC,1,South West,Consumer,Sarah,Bank Transfer,5
ORD241,2026-02-26,P008,Keyboard,1,South West,Consumer,Sarah,Credit Card,0
ORD167,2025-12-12,P002,Desktop PC,2,Midlands,Business,James,Debit Card,20
ORD144,2025-12-28,P013,USB Hub,1,North West,Consumer,Sarah,Credit Card,5
ORD355,2026-05-18,P014,External SSD,2,South West,Business,James,Credit Card,0
ORD076,2025-10-17,P010,Mouse,2,South West,Consumer,James,Debit Card,5
ORD486,2026-08-01,P017,Microphone,3,South West,Consumer,James,Credit Card,0
ORD148,2025-12-10,P020,Printer,1,South West,Consumer,Sarah,PayPal,0
ORD303,2026-03-28,P013,USB Hub,4,London,Business,James,Credit Card,5
ORD250,2026-02-19,P016,Speakers,2,South West,Consumer,Sarah,Debit Card,0
ORD267,2026-02-16,P018,Webcam,1,Midlands,Business,James,Debit Card,10
ORD483,2026-08-01,P010,Mouse,3,Midlands,Business,Michael,Credit Card,5
ORD395,2026-06-18,P010,Mouse,2,London,Consumer,Emma,Credit Card,0
