OrderID,OrderDate,ProductID,Product,Quantity,Region,Customer Type,Sales Person,PaymentMethod,Discount
ORD119,03/11/2025,P014,External SSD,3,Midlands,Business,Emma,Bank Transfer,10
ORD397,26/06/2026,P010,Mouse,2,South West,Consumer,Sarah,PayPal,5
ORD240,23/02/2026,P003,Mini PC,3,North West,Business,James,Credit Card,5
ORD246,09/02/2026,P006,"Monitor 27""",1,North West,Business,Emma,Credit Card,15
ORD344,10/04/2026,P012,Docking Station,3,North West,Consumer,Michael,PayPal,0
ORD265,10/02/2026,P001,Laptop,3,South West,Business,James,Bank Transfer,10
ORD282,21/03/2026,P005,Monitor,1,Midlands,Consumer,Sarah,Credit Card,0
ORD342,06/04/2026,P020,Printer,1,South West,Consumer,Emma,Debit Card,5
ORD132,25/11/2025,P006,"Monitor 27""",1,Midlands,Business,Emma,PayPal,5
ORD434,21/07/2026,P016,Speakers,4,London,Consumer,Emma,Credit Card,10
ORD285,29/03/2026,P018,Webcam,3,South West,Business,James,Credit Card,5
ORD211,24/01/2026,P020,Printer,1,London,Consumer,Emma,Bank Transfer,15
ORD097,12/11/2025,P004,Gaming Laptop,1,London,Consumer,Sarah,PayPal,0
ORD271,26/03/2026,P011,Gaming Mouse,1,South West,Consumer,Emma,Credit Card,0
ORD183,20/12/2025,P004,Gaming Laptop,1,Midlands,Consumer,James,Credit Card,0
ORD363,06/05/2026,P010,Mouse,3,North West,Business,Emma,Credit Card,10
ORD337,21/04/2026,P020,Printer,1,South West,Consumer,Sarah,Credit Card,5
ORD253,02/02/2026,P010,Mouse,1,South West,Consumer,Sarah,Credit Card,10
ORD239,25/02/2026,P008,Keyboard,2,London,Consumer,James,Credit Card,10
ORD416,08/06/2026,P008,Keyboard,2,Midlands,Consumer,Emma,Debit Card,10
ORD440,13/07/2026,P002,Desktop PC,4,Midlands,Business,Michael,Bank Transfer,5
ORD236,04/02/2026,P005,Monitor,1,South West,Business,Sarah,Bank Transfer,5
ORD417,15/06/2026,P014,External SSD,2,London,Business,Emma,Bank Transfer,10
ORD061,11/10/2025,P009,Mechanical Keyboard,3,South West,Consumer,Sarah,Bank Transfer,5
ORD300,20/03/2026,P005,Monitor,2,South West,Consumer,James,Credit Card,0
ORD492,20/08/2026,P016,Speakers,2,Midlands,Consumer,Michael,Credit Card,0
ORD222,05/01/2026,P007,Ultrawide Monitor,3,South West,Business,James,Credit Card,10
ORD130,28/11/2025,P014,External SSD,2,London,Consumer,James,Debit Card,5
ORD324,29/04/2026,P012,Docking Station,3,South West,Business,Sarah,Credit Card,10
ORD166,24/12/2025,P013,USB Hub,2,Midlands,Consumer,Sarah,Credit Card,5
ORD293,02/03/2026,P010,Mouse,4,South West,Business,Sarah,Credit Card,15
ORD242,28/02/2026,P017,Microphone,1,Midlands,Business,Michael,Debit Card,15
ORD499,28/08/2026,P010,Mouse,2,North West,Business,Emma,Bank Transfer,10
ORD352,06/05/2026,P004,Gaming Laptop,2,London,Consumer,Sarah,Debit Card,0
ORD436,11/07/2026,P007,Ultrawide Monitor,1,London,Consumer,Sarah,Bank Transfer,10
ORD035,24/09/2025,P009,Mechanical Keyboard,1,Midlands,Consumer,James,PayPal,0
ORD029,19/09/2025,P003,Mini PC,1,South West,Consumer,Sarah,Bank Transfer,5
ORD241,26/02/2026,P008,Keyboard,1,South West,Consumer,Sarah,Credit Card,0
ORD167,12/12/2025,P002,Desktop PC,2,Midlands,Business,James,Debit Card,20
ORD144,28/12/2025,P013,USB Hub,1,North West,Consumer,Sarah,Credit Card,5
ORD355,18/05/2026,P014,External SSD,2,South West,Business,James,Credit Card,0
ORD076,17/10/2025,P010,Mouse,2,South West,Consumer,James,Debit Card,5
ORD486,01/08/2026,P017,Microphone,3,South West,Consumer,James,Credit Card,0
ORD148,10/12/2025,P020,Printer,1,South West,Consumer,Sarah,PayPal,0
ORD303,28/03/2026,P013,USB Hub,4,London,Business,James,Credit Card,5
ORD250,19/02/2026,P016,Speakers,2,South West,Consumer,Sarah,Debit Card,0
ORD267,16/02/2026,P018,Webcam,1,Midlands,Business,James,Debit Card,10
ORD483,01/08/2026,P010,Mouse,3,Midlands,Business,Michael,Credit Card,5
ORD395,18/06/2026,P010,Mouse,2,London,Consumer,Emma,Credit Card,0
ORD425,10/06/2026,P011,Gaming Mouse,2,North West,Consumer,Emma,Credit Card,0
ORD356,21/05/2026,P008,Keyboard,3,Midlands,Consumer,Emma,Credit Card,0
ORD083,23/10/2025,P010,Mouse,3,Midlands,Consumer,Michael,Credit Card,0
ORD057,15/10/2025,P016,Speakers,1,North West,Consumer,Sarah,PayPal,0
ORD170,21/12/2025,P011,Gaming Mouse,1,Midlands,Consumer,Michael,PayPal,5
ORD213,23/01/2026,P006,"Monitor 27""",3,London,Consumer,Sarah,PayPal,5
ORD038,19/09/2025,P006,"Monitor 27""",2,South West,Consumer,Michael,Debit Card,0
ORD351,16/05/2026,P001,Laptop,1,South West,Consumer,Sarah,Debit Card,5
ORD134,04/11/2025,P013,USB Hub,3,North West,Consumer,Emma,Credit Card,10
ORD171,05/12/2025,P009,Mechanical Keyboard,1,Midlands,Consumer,Sarah,Credit Card,0
ORD017,13/07/2026,P005,Monitor,-3,South West,Business,James,Bank Transfer,10
ORD055,03/09/2025,P016,Speakers,4,Midlands,Business,Michael,Bank Transfer,15
ORD390,09/05/2026,P009,Mechanical Keyboard,2,Midlands,Business,Michael,Bank Transfer,5
ORD081,26/10/2025,P010,Mouse,3,London,Business,Emma,PayPal,20
ORD381,28/05/2026,P011,Gaming Mouse,3,London,Consumer,James,Credit Card,5
ORD286,31/03/2026,P008,Keyboard,1,North West,Consumer,Michael,PayPal,20
ORD087,06/10/2025,P013,USB Hub,2,London,Consumer,James,Debit Card,0
ORD262,11/02/2026,P012,Docking Station,6,South West,Business,Sarah,Credit Card,15
ORD275,27/03/2026,P010,Mouse,2,London,Consumer,Emma,Debit Card,5
ORD070,17/10/2025,P016,Speakers,4,North West,Business,Emma,Credit Card,15
ORD153,07/12/2025,P009,Mechanical Keyboard,1,London,Consumer,James,PayPal,0
ORD231,24/01/2026,P014,External SSD,2,London,Consumer,James,Bank Transfer,10
ORD332,11/04/2026,P010,Mouse,3,Midlands,Business,Sarah,Debit Card,5
ORD217,13/01/2026,P008,Keyboard,3,South West,Business,Michael,Bank Transfer,20
ORD186,12/12/2025,P018,Webcam,1,Midlands,Consumer,James,Credit Card,10
ORD455,08/07/2026,P015,Headset,3,South West,Business,James,Debit Card,0
ORD152,04/12/2025,P016,Speakers,1,Midlands,Consumer,Michael,Credit Card,0
ORD093,29/10/2025,P008,Keyboard,1,South West,Consumer,Sarah,Debit Card,0
ORD023,04/09/2025,P005,Monitor,1,Midlands,Consumer,James,Debit Card,0
ORD234,04/01/2026,P015,Headset,5,North West,Business,Sarah,Bank Transfer,15
ORD044,16/09/2025,P010,Mouse,3,South West,Business,Emma,Debit Card,5
ORD092,25/10/2025,P011,Gaming Mouse,1,South West,Consumer,James,Credit Card,0
ORD015,32/06/2026,P001,Laptop,4,Midlands,Business,Michael,Bank Transfer,15
ORD024,17/09/2025,P008,Keyboard,2,South West,Consumer,Sarah,Debit Card,20
ORD398,22/06/2026,P005,Monitor,2,South West,Consumer,Michael,Credit Card,5
ORD392,06/06/2026,P015,Headset,1,Midlands,Consumer,James,Debit Card,5
ORD331,12/04/2026,P010,Mouse,2,South West,Consumer,Sarah,PayPal,10
ORD101,13/11/2025,P015,Headset,2,London,Consumer,James,Credit Card,5
ORD256,10/02/2026,P003,Mini PC,3,Midlands,Business,Michael,Credit Card,5
ORD423,23/06/2026,P013,USB Hub,5,London,Business,Michael,Bank Transfer,10
ORD199,06/12/2025,P003,Mini PC,1,North West,Business,Sarah,Credit Card,5
ORD289,08/03/2026,P016,Speakers,2,South West,Consumer,Sarah,Debit Card,0
ORD102,25/11/2025,P003,Mini PC,3,North West,Business,Michael,Credit Card,10
ORD042,02/09/2025,P013,USB Hub,4,London,Business,Sarah,Bank Transfer,15
ORD025,03/09/2025,P011,Gaming Mouse,4,North West,Business,Emma,Bank Transfer,5
ORD027,23/09/2025,P003,Mini PC,4,North West,Business,Michael,Debit Card,10
ORD358,27/05/2026,P007,Ultrawide Monitor,1,London,Business,Michael,Bank Transfer,15
ORD441,10/07/2026,P007,Ultrawide Monitor,1,South West,Consumer,James,PayPal,0
ORD283,21/03/2026,P012,Docking Station,1,Midlands,Consumer,Emma,Debit Card,0
ORD298,31/03/2026,P006,"Monitor 27""",2,South West,Business,Michael,Credit Card,5
ORD001,05/01/2026,P001,Laptop,2,London,Business,James,Bank Transfer,5
ORD225,23/01/2026,P020,Printer,3,London,Business,Emma,Credit Card,5
ORD384,01/05/2026,P007,Ultrawide Monitor,1,North West,Consumer,Emma,Debit Card,0
ORD268,19/02/2026,P003,Mini PC,2,Midlands,Consumer,James,PayPal,10
ORD137,26/11/2025,P014,External SSD,2,Midlands,Consumer,Sarah,Debit Card,15
ORD421,26/06/2026,P011,Gaming Mouse,1,North West,Business,Michael,Credit Card,10
ORD400,06/06/2026,P013,USB Hub,1,London,Consumer,James,Credit Card,0
ORD382,16/05/2026,P004,Gaming Laptop,1,North West,Consumer,James,Debit Card,10
ORD052,23/09/2025,P019,Conference Camera,2,London,Business,Emma,PayPal,10
ORD173,25/12/2025,P001,Laptop,1,London,Consumer,Emma,PayPal,0
ORD113,21/11/2025,P016,Speakers,1,North West,Consumer,Emma,PayPal,10
ORD008,19/03/2026,P018,Webcam,2,,Consumer,Emma,Credit Card,5
ORD036,26/09/2025,P017,Microphone,2,South West,Consumer,Sarah,Credit Card,5
ORD074,13/10/2025,P004,Gaming Laptop,2,South West,Consumer,Sarah,Credit Card,0
ORD372,05/05/2026,P013,USB Hub,4,Midlands,Business,James,Bank Transfer,5
ORD202,05/01/2026,P015,Headset,1,South West,Business,Sarah,Credit Card,0
ORD060,06/10/2025,P015,Headset,2,South West,Consumer,Michael,PayPal,0
ORD069,23/10/2025,P006,"Monitor 27""",1,South West,Consumer,Michael,Credit Card,5
ORD049,22/09/2025,P020,Printer,1,North West,Business,Michael,Bank Transfer,0
ORD224,14/01/2026,P013,USB Hub,3,London,Business,Emma,Bank Transfer,10
ORD294,17/03/2026,P010,Mouse,3,South West,Business,James,Bank Transfer,5
ORD201,26/01/2026,P015,Headset,2,South West,Consumer,Sarah,Credit Card,10
ORD010,16/04/2026,P001,laptop,3,South West,Business,Sarah,Bank Transfer,10
ORD251,10/02/2026,P001,Laptop,2,Midlands,Business,Sarah,Bank Transfer,5
ORD364,19/05/2026,P012,Docking Station,2,North West,Business,Sarah,Credit Card,0
ORD328,28/04/2026,P014,External SSD,1,North West,Consumer,Sarah,PayPal,0
ORD050,27/09/2025,P018,Webcam,2,South West,Business,James,Credit Card,5
ORD249,25/02/2026,P005,Monitor,1,South West,Consumer,Sarah,Credit Card,0
ORD257,20/02/2026,P003,Mini PC,3,North West,Business,Emma,Credit Card,10
ORD048,02/09/2025,P010,Mouse,4,London,Business,Sarah,Debit Card,5
ORD169,30/12/2025,P010,Mouse,3,London,Business,Michael,Credit Card,10
ORD296,03/03/2026,P015,Headset,4,North West,Consumer,Sarah,Debit Card,5
ORD460,30/07/2026,P007,Ultrawide Monitor,1,London,Consumer,Michael,Debit Card,5
ORD490,22/08/2026,P002,Desktop PC,2,London,Business,James,Credit Card,10
ORD121,07/11/2025,P009,Mechanical Keyboard,2,London,Consumer,Emma,Credit Card,0
ORD477,08/08/2026,P006,"Monitor 27""",1,South West,Consumer,Michael,Debit Card,0
ORD419,27/06/2026,P011,Gaming Mouse,3,London,Consumer,Michael,PayPal,20
ORD066,11/10/2025,P014,External SSD,3,Midlands,Consumer,Michael,Debit Card,10
ORD450,29/07/2026,P008,Keyboard,2,South West,Business,Sarah,Bank Transfer,20
ORD399,27/06/2026,P010,Mouse,1,London,Consumer,James,PayPal,5
ORD491,29/08/2026,P004,Gaming Laptop,1,London,Consumer,James,PayPal,5
ORD278,25/03/2026,P007,Ultrawide Monitor,1,South West,Consumer,Michael,Credit Card,5
ORD206,05/01/2026,P007,Ultrawide Monitor,1,London,Business,James,Debit Card,10
ORD279,19/03/2026,P013,USB Hub,1,London,Consumer,Sarah,Credit Card,0
